Emotional Adjective,Adjective Count,Theme Keyword,Keyword Count
black,113,minecraft,125
funny,64,kids,107
una,30,jack,95
jason,21,game,94
old,20,jockey,42
entertaining,19,chicken,40
fun,17,momoa,33
real,16,son,26
hilarious,15,plot,25
big,14,película,24
amazing,14,family,23
jack,14,jason,22
enjoyable,14,adults,21
terrible,14,kid,20
chicken,12,screen,19
hard,11,humor,19
dumb,11,cgi,18
cool,10,jokes,18
peak,10,fan,18
los,10,fans,17
silly,9,con,17
creative,8,life,16
video,8,children,15
special,8,daughter,15
stupid,8,para,15
chaotic,7,references,14
original,7,creativity,14
que,7,steve,14
fair,6,place,13
emotional,6,mamoa,13
